TicketID,OpenedDate,ClosedDate,Status,Priority,Category,Technician,DeviceType,ResolutionHours
1001,2025-01-02,2025-01-02,Closed,High,Hardware,Alex,Laptop,3
1002,2025-01-03,2025-01-04,Closed,Medium,Software,Jordan,Desktop,6
1003,2025-01-03,,Open,Low,Account,Chris,Mobile,
1004,2025-01-04,2025-01-05,Closed,High,Network,Alex,Desktop,10
1005,2025-01-05,2025-01-05,Closed,Low,Software,Jordan,Laptop,2
1006,2025-01-06,,Open,Medium,Hardware,Chris,Laptop,
1007,2025-01-06,2025-01-07,Closed,Medium,Account,Alex,Mobile,5
1008,2025-01-07,2025-01-08,Closed,High,Network,Jordan,Desktop,8
1009,2025-01-08,,Open,Low,Software,Chris,Laptop,
1010,2025-01-09,2025-01-09,Closed,Medium,Hardware,Alex,Desktop,4
1011,2025-01-10,2025-01-10,Closed,Medium,Hardware,Chris,Desktop,2
1012,2025-01-10,2025-01-13,Closed,Low,Hardware,Chris,Laptop,2
1013,2025-01-10,2025-01-13,Closed,Low,Hardware,Alex,Mobile,3
1014,2025-01-11,2025-01-13,Closed,Medium,Account,Jordan,Mobile,2
1015,2025-01-13,2025-01-13,Closed,High,Software,Chris,Laptop,14
1016,2025-01-13,2025-01-16,Closed,Low,Hardware,Alex,Laptop,3
1017,2025-01-14,2025-01-15,Closed,Medium,Hardware,Chris,Mobile,10
1018,2025-01-14,2025-01-15,Closed,Low,Network,Jordan,Mobile,6
1019,2025-01-15,,Open,High,Network,Jordan,Laptop,
1020,2025-01-15,2025-01-18,Closed,High,Account,Alex,Mobile,10
1021,2025-01-16,2025-01-19,Closed,Medium,Account,Chris,Mobile,8
1022,2025-01-16,2025-01-16,Closed,High,Software,Chris,Desktop,4
1023,2025-01-17,2025-01-20,Closed,Medium,Network,Jordan,Mobile,10
1024,2025-01-17,2025-01-17,Closed,Medium,Hardware,Chris,Mobile,10
1025,2025-01-19,2025-01-21,Closed,Medium,Software,Chris,Laptop,10
1026,2025-01-19,2025-01-19,Closed,Low,Software,Chris,Mobile,5
1027,2025-01-20,,Open,High,Account,Alex,Laptop,
1028,2025-01-20,2025-01-23,Closed,Medium,Hardware,Alex,Mobile,3
1029,2025-01-21,2025-01-24,Closed,High,Software,Jordan,Mobile,7
1030,2025-01-21,,Open,Medium,Software,Chris,Desktop,
1031,2025-01-22,,Open,Medium,Software,Alex,Laptop,
1032,2025-01-22,2025-01-22,Closed,Medium,Software,Chris,Laptop,3
1033,2025-01-23,2025-01-26,Closed,Low,Software,Jordan,Mobile,2
1034,2025-01-23,2025-01-26,Closed,Medium,Network,Alex,Desktop,5
1035,2025-01-24,2025-01-24,Closed,High,Hardware,Chris,Mobile,4
1036,2025-01-24,2025-01-25,Closed,Low,Hardware,Alex,Laptop,5
1037,2025-01-26,,Open,Medium,Hardware,Chris,Mobile,
1038,2025-01-28,2025-01-28,Closed,Medium,Hardware,Alex,Desktop,8
1039,2025-01-28,2025-01-31,Closed,Medium,Network,Jordan,Desktop,4
1040,2025-01-29,2025-02-01,Closed,Low,Account,Alex,Laptop,5
1041,2025-01-29,,Open,Medium,Hardware,Chris,Laptop,
1042,2025-01-29,,Open,Low,Hardware,Chris,Laptop,
1043,2025-01-30,2025-02-01,Closed,Low,Hardware,Jordan,Mobile,3
1044,2025-01-30,2025-01-31,Closed,Medium,Software,Jordan,Desktop,6
1045,2025-01-31,2025-02-01,Closed,Medium,Hardware,Alex,Mobile,10
1046,2025-02-02,,Open,Medium,Hardware,Chris,Mobile,
1047,2025-02-03,2025-02-04,Closed,Low,Hardware,Chris,Mobile,3
1048,2025-02-04,2025-02-04,Closed,High,Network,Jordan,Laptop,14
1049,2025-02-04,2025-02-06,Closed,Low,Hardware,Jordan,Laptop,2
1050,2025-02-04,2025-02-04,Closed,Medium,Network,Chris,Laptop,3
1051,2025-02-05,2025-02-05,Closed,Medium,Software,Jordan,Laptop,6
1052,2025-02-06,2025-02-08,Closed,Medium,Software,Chris,Laptop,10
1053,2025-02-07,2025-02-07,Closed,High,Software,Alex,Desktop,6
1054,2025-02-07,2025-02-08,Closed,Low,Network,Chris,Mobile,3
1055,2025-02-08,2025-02-10,Closed,Medium,Software,Jordan,Desktop,5
1056,2025-02-09,2025-02-12,Closed,Low,Account,Jordan,Mobile,6
1057,2025-02-10,2025-02-10,Closed,High,Software,Chris,Desktop,5
1058,2025-02-11,2025-02-12,Closed,High,Hardware,Jordan,Mobile,8
1059,2025-02-11,2025-02-11,Closed,Medium,Software,Jordan,Desktop,7
1060,2025-02-12,,Open,Medium,Network,Jordan,Desktop,
1061,2025-02-12,2025-02-15,Closed,Medium,Software,Jordan,Mobile,4
1062,2025-02-13,2025-02-15,Closed,Low,Network,Chris,Mobile,4
1063,2025-02-13,2025-02-13,Closed,Medium,Network,Chris,Laptop,6
1064,2025-02-13,2025-02-15,Closed,Medium,Account,Alex,Laptop,5
1065,2025-02-14,,Open,Medium,Hardware,Jordan,Desktop,
1066,2025-02-14,,Open,Medium,Network,Jordan,Desktop,
1067,2025-02-15,,Open,Medium,Hardware,Jordan,Laptop,
