OrderID,OrderDate,ShipDate,Status,Channel,CustomerID,ProductID,RepID,RegionID,Quantity,DiscountPct,UnitPrice,Revenue,COGS,Profit
O100000,2025-07-01,2025-07-06,Completed,Inside Sales,C0019,P0006,S002,R02,4,0.0,1192.89,4771.56,1489.4,3282.16
O100001,2025-07-01,2025-07-02,Completed,Partner,C0019,P0010,S005,R02,2,0.0,814.43,1628.86,778.84,850.02
O100002,2025-07-01,2025-07-06,Completed,Inside Sales,C0008,P0009,S005,R05,1,0.0,1373.48,1373.48,433.59,939.89
O100003,2025-07-01,2025-07-06,Completed,Inside Sales,C0002,P0014,S003,R02,4,0.15,627.73,2510.9,2568.68,-57.78
O100004,2025-07-01,2025-07-05,Completed,Partner,C0006,P0006,S005,R05,10,0.05,1133.25,11332.45,3723.5,7608.95
O100005,2025-07-01,2025-07-03,Completed,Partner,C0004,P0006,S001,R04,2,0.0,1192.89,2385.78,744.7,1641.08
O100006,2025-07-02,2025-07-02,Completed,Online,C0012,P0013,S003,R06,1,0.15,671.62,671.62,687.08,-15.46
O100007,2025-07-02,2025-07-02,Completed,Partner,C0005,P0003,S001,R05,2,0.05,754.5,1509.0,755.94,753.06
O100008,2025-07-02,2025-07-07,Canceled,Partner,C0018,P0002,S001,R03,0,0.05,156.49,0.0,0.0,0.0
O100009,2025-07-02,2025-07-05,Completed,Inside Sales,C0009,P0010,S005,R03,2,0.1,732.99,1465.97,778.84,687.13
O100010,2025-07-02,2025-07-06,Completed,Online,C0004,P0007,S003,R04,3,0.15,77.04,231.11,236.43,-5.32
O100011,2025-07-02,2025-07-04,Completed,Field Sales,C0020,P0012,S002,R02,5,0.15,287.25,1436.24,1469.3,-33.06
O100012,2025-07-02,2025-07-04,Completed,Field Sales,C0010,P0014,S001,R06,1,0.0,738.5,738.5,642.17,96.33
O100013,2025-07-03,2025-07-07,Canceled,Online,C0015,P0003,S002,R02,0,0.1,714.79,0.0,0.0,0.0
O100014,2025-07-03,2025-07-08,Completed,Inside Sales,C0012,P0002,S003,R06,4,0.05,156.49,625.97,96.16,529.81
O100015,2025-07-03,2025-07-05,Completed,Inside Sales,C0009,P0008,S001,R03,2,0.0,1301.51,2603.02,415.76,2187.26
O100016,2025-07-03,2025-07-10,Completed,Partner,C0020,P0006,S005,R02,1,0.0,1192.89,1192.89,372.35,820.54
O100017,2025-07-03,2025-07-03,Completed,Online,C0012,P0013,S004,R06,3,0.2,632.11,1896.34,2061.24,-164.9
O100018,2025-07-03,2025-07-06,Completed,Online,C0009,P0009,S002,R03,2,0.15,1167.46,2334.92,867.18,1467.74
O100019,2025-07-03,2025-07-07,Canceled,Inside Sales,C0018,P0003,S003,R03,0,0.15,675.08,0.0,0.0,0.0
O100020,2025-07-03,2025-07-04,Completed,Inside Sales,C0020,P0014,S003,R02,2,0.1,664.65,1329.3,1284.34,44.96
O100021,2025-07-04,2025-07-06,Completed,Partner,C0017,P0011,S005,R05,2,0.1,729.76,1459.53,1410.18,49.35
O100022,2025-07-04,2025-07-06,Completed,Field Sales,C0010,P0009,S002,R06,1,0.15,1167.46,1167.46,433.59,733.87
O100023,2025-07-04,2025-07-08,Completed,Online,C0007,P0004,S003,R06,4,0.0,739.3,2957.2,2571.48,385.72
O100024,2025-07-04,2025-07-05,Canceled,Field Sales,C0006,P0014,S005,R05,0,0.0,738.5,0.0,0.0,0.0
O100025,2025-07-04,2025-07-04,Completed,Field Sales,C0007,P0009,S003,R06,10,0.0,1373.48,13734.8,4335.9,9398.9
O100026,2025-07-04,2025-07-06,Completed,Partner,C0004,P0008,S001,R04,4,0.05,1236.43,4945.74,831.52,4114.22
O100027,2025-07-04,2025-07-05,Completed,Online,C0015,P0012,S003,R02,2,0.15,287.25,574.5,587.72,-13.22
O100028,2025-07-04,2025-07-05,Completed,Online,C0003,P0011,S003,R03,1,0.1,729.76,729.76,705.09,24.67
O100029,2025-07-04,2025-07-07,Completed,Online,C0004,P0003,S003,R04,1,0.15,675.08,675.08,377.97,297.11
O100030,2025-07-05,2025-07-07,Returned,Inside Sales,C0017,P0002,S005,R05,10,0.2,131.78,-1317.84,-240.4,-1077.44
O100031,2025-07-05,2025-07-09,Completed,Inside Sales,C0017,P0002,S001,R05,1,0.0,164.73,164.73,24.04,140.69
O100032,2025-07-05,2025-07-05,Completed,Online,C0002,P0014,S002,R02,1,0.2,590.8,590.8,642.17,-51.37
O100033,2025-07-05,2025-07-09,Completed,Field Sales,C0001,P0008,S003,R01,3,0.15,1106.28,3318.85,623.64,2695.21
O100034,2025-07-05,2025-07-07,Completed,Field Sales,C0005,P0007,S002,R05,1,0.0,90.63,90.63,78.81,11.82
O100035,2025-07-05,2025-07-07,Returned,Partner,C0018,P0012,S005,R03,3,0.0,337.94,-1013.82,-881.58,-132.24
O100036,2025-07-05,2025-07-09,Completed,Inside Sales,C0006,P0011,S004,R05,2,0.2,648.68,1297.36,1410.18,-112.82
O100037,2025-07-05,2025-07-09,Canceled,Partner,C0003,P0007,S003,R03,0,0.0,90.63,0.0,0.0,0.0
O100038,2025-07-05,2025-07-07,Completed,Inside Sales,C0008,P0013,S003,R05,2,0.1,711.13,1422.25,1374.16,48.09
O100039,2025-07-05,2025-07-09,Completed,Partner,C0014,P0007,S002,R01,1,0.0,90.63,90.63,78.81,11.82
O100040,2025-07-05,2025-07-08,Completed,Inside Sales,C0006,P0014,S002,R05,10,0.05,701.57,7015.75,6421.7,594.05
O100041,2025-07-06,2025-07-09,Completed,Inside Sales,C0014,P0011,S004,R01,1,0.0,810.85,810.85,705.09,105.76
O100042,2025-07-06,2025-07-08,Completed,Field Sales,C0011,P0001,S004,R02,3,0.1,822.95,2468.85,1430.49,1038.36
O100043,2025-07-06,2025-07-09,Completed,Inside Sales,C0017,P0013,S001,R05,2,0.0,790.14,1580.28,1374.16,206.12
O100044,2025-07-06,2025-07-07,Completed,Inside Sales,C0009,P0011,S004,R03,3,0.0,810.85,2432.55,2115.27,317.28
O100045,2025-07-06,2025-07-09,Completed,Inside Sales,C0013,P0008,S005,R02,2,0.05,1236.43,2472.87,415.76,2057.11
O100046,2025-07-06,2025-07-10,Completed,Inside Sales,C0019,P0009,S004,R02,2,0.0,1373.48,2746.96,867.18,1879.78
O100047,2025-07-06,2025-07-08,Completed,Inside Sales,C0010,P0004,S001,R06,3,0.05,702.33,2107.0,1928.61,178.39
O100048,2025-07-06,2025-07-13,Completed,Partner,C0003,P0005,S002,R03,1,0.0,542.04,542.04,471.34,70.7
O100049,2025-07-06,2025-07-06,Completed,Partner,C0015,P0007,S005,R02,5,0.1,81.57,407.83,394.05,13.78
O100050,2025-07-06,2025-07-08,Completed,Online,C0011,P0007,S001,R02,2,0.1,81.57,163.13,157.62,5.51
O100051,2025-07-06,2025-07-08,Completed,Partner,C0014,P0010,S001,R01,3,0.0,814.43,2443.29,1168.26,1275.03
O100052,2025-07-06,2025-07-13,Completed,Online,C0015,P0012,S003,R02,10,0.0,337.94,3379.4,2938.6,440.8
O100053,2025-07-06,2025-07-06,Completed,Online,C0008,P0015,S001,R05,2,0.0,829.59,1659.18,1442.76,216.42
O100054,2025-07-07,2025-07-14,Completed,Online,C0009,P0005,S005,R03,1,0.0,542.04,542.04,471.34,70.7
O100055,2025-07-07,2025-07-08,Completed,Online,C0009,P0005,S003,R03,2,0.0,542.04,1084.08,942.68,141.4
O100056,2025-07-07,2025-07-09,Completed,Field Sales,C0014,P0006,S002,R01,1,0.05,1133.25,1133.25,372.35,760.9
O100057,2025-07-07,2025-07-11,Returned,Inside Sales,C0002,P0004,S002,R02,1,0.1,665.37,-665.37,-642.87,-22.5
O100058,2025-07-07,2025-07-11,Completed,Partner,C0002,P0004,S004,R02,3,0.2,591.44,1774.32,1928.61,-154.29
O100059,2025-07-07,2025-07-08,Completed,Field Sales,C0014,P0007,S002,R01,2,0.0,90.63,181.26,157.62,23.64
O100060,2025-07-07,2025-07-09,Completed,Partner,C0011,P0005,S001,R02,4,0.05,514.94,2059.75,1885.36,174.39
O100061,2025-07-08,2025-07-11,Completed,Partner,C0012,P0006,S001,R06,1,0.0,1192.89,1192.89,372.35,820.54
O100062,2025-07-08,2025-07-12,Completed,Field Sales,C0006,P0015,S002,R05,4,0.15,705.15,2820.61,2885.52,-64.91
O100063,2025-07-08,2025-07-11,Completed,Inside Sales,C0009,P0015,S005,R03,3,0.0,829.59,2488.77,2164.14,324.63
O100064,2025-07-08,2025-07-13,Completed,Online,C0001,P0004,S003,R01,1,0.05,702.33,702.33,642.87,59.46
O100065,2025-07-08,2025-07-09,Completed,Inside Sales,C0001,P0015,S004,R01,3,0.0,829.59,2488.77,2164.14,324.63
O100066,2025-07-08,2025-07-10,Completed,Inside Sales,C0002,P0002,S004,R02,1,0.0,164.73,164.73,24.04,140.69
O100067,2025-07-08,2025-07-15,Completed,Partner,C0009,P0011,S001,R03,4,0.0,810.85,3243.4,2820.36,423.04
O100068,2025-07-08,2025-07-11,Completed,Online,C0007,P0002,S005,R06,10,0.0,164.73,1647.3,240.4,1406.9
O100069,2025-07-08,2025-07-08,Completed,Field Sales,C0016,P0007,S002,R05,1,0.0,90.63,90.63,78.81,11.82
O100070,2025-07-08,2025-07-13,Completed,Inside Sales,C0003,P0011,S001,R03,3,0.1,729.76,2189.3,2115.27,74.03
O100071,2025-07-08,2025-07-11,Completed,Inside Sales,C0005,P0011,S005,R05,3,0.2,648.68,1946.04,2115.27,-169.23
O100072,2025-07-08,2025-07-12,Completed,Online,C0002,P0006,S004,R02,1,0.05,1133.25,1133.25,372.35,760.9
O100073,2025-07-08,2025-07-08,Completed,Online,C0003,P0005,S001,R03,3,0.1,487.84,1463.51,1414.02,49.49
O100074,2025-07-09,2025-07-09,Completed,Field Sales,C0003,P0014,S003,R03,1,0.0,738.5,738.5,642.17,96.33
O100075,2025-07-09,2025-07-14,Returned,Partner,C0005,P0005,S005,R05,2,0.0,542.04,-1084.08,-942.68,-141.4
O100076,2025-07-09,2025-07-16,Completed,Partner,C0008,P0009,S005,R05,3,0.05,1304.81,3914.42,1300.77,2613.65
O100077,2025-07-09,2025-07-12,Canceled,Inside Sales,C0003,P0009,S004,R03,0,0.2,1098.78,0.0,0.0,0.0
O100078,2025-07-09,2025-07-13,Completed,Online,C0013,P0004,S001,R02,1,0.0,739.3,739.3,642.87,96.43
O100079,2025-07-09,2025-07-12,Completed,Online,C0014,P0007,S005,R01,10,0.1,81.57,815.67,788.1,27.57
